,Title,Hymn
0,<title>NIPA ife Olugbala - Yoruba Baptist Hymns</title>,"<p>1. NIPA ife Olugbala,<br/>
Ki y’o si nkan;<br/>
Oju rere Re ki pada.<br/>
Ki y’o si nkan.<br/>
Owon l’eje t’o wo wa san,<br/>
Pipe l’edidi or’-ofe,<br/>
Agbara l’owo t’o gba ni,<br/>
Ko le si nkan.</p> <p>2. Bi a wa ninu iponju,<br/>
Ki y’o si nkan:<br/>
Igbala kikun ni ti wa.<br/>
Ki y’o si nkan.<br/>
Igbekele Olorun dun,<br/>
Gbigbe inu Kristi l’ere,<br/>
Emi si nso wa di mimo<br/>
Ko le si nkan.</p> <p>3. Ojo ola yio dara,<br/>
Ki y’o si nkan.<br/>
‘Gbagbo le korin n’iponju<br/>
Ki y’o si nkan<br/>
A gbekele ‘fe Baba wa,<br/>
Jesu fun wa l’ohun gbogbo.<br/>
Ni yiye tabi ni kiku<br/>
Ko le si nkan.</p> "
1,<title>LAIFOYA l'apa Jesu - Yoruba Baptist Hymns</title>,"<p>1. LAIFOYA l’apa Jesu,<br/>
Laifoya l’aiya Re,<br/>
Labe ojij’ife Re,<br/>
L’okan mi o simi.<br/>
Gbo ohun angeli ni,<br/>
Orin won d’eti mi,<br/>
Lati papa ogo wa,<br/>
Lati okun jaspi.<br/>
Laifoya l’apa Jesu, Laifoya l’aiya Re,<br/>
Labe ojij’ife Re, L’okan mi o simi.</p> <p>2. Laifoya l’apa Jesu,<br/>
Mo bo low’aniyan,<br/>
Mo bo lowo idanwo,<br/>
Ese ko n’ipa mo.<br/>
Mo bo lowo ‘banuje,<br/>
Mo bo lowo eru,<br/>
O ku idanwo die!<br/>
O k’omije die!</p> <p>3. Jesu abo okan mi,<br/>
Jesu ti ku fun mi,<br/>
Apata aiyeraiye<br/>
L’emi o gbekele.<br/>
Nihin l’emi o duro,<br/>
Tit’oru y’o koja,<br/>
Titi ngo fi r’imole<br/>
Ni ebute ogo.</p> "
2,"<title>OLUWA, Baba orun - Yoruba Baptist Hymns</title>","<p>1. OLUWA, Baba orun,<br/>
B’ oju woo mo-‘do Re<br/>
Ti nro t’ igbe aiye re,<br/>
Ati ipo re si O.</p> <p>2. Mo n’ igbgbo si Jesu,<br/>
Si agbara iku Re,<br/>
S’ ajinde Re, apere<br/>
Iye lehin iku mi.</p> <p>3. Emi Re l’ o s’ ise yi,<br/>
L’ O mu mi mo ebi mi,<br/>
L’ O toka ‘gbala si mi,<br/>
L’ O mu mi gba Kristi gbo.</p> <p>4. Sugbon sibe okan mi,<br/>
Nd’igba se kilakilo,<br/>
Nitor’ese to mo nda,<br/>
Alailera sa l’emi.</p> <p>5. Fun mi ni idaloju<br/>
Isimi okan toto,<br/>
T’awon ‘mo-ehin Re gbo,<br/>
Ti aiya won si bale.</p> <p>6. Wi f’okan mi, Oluwa,<br/>
(Iwo nikan l’O le wi,)<br/>
Pe a ti k’oruko re<br/>
Sinu ‘we iye l’oke.</p> <p>7. ‘Gbana mo le n’igboya<br/>
Lati wi bi paulu pe,<br/>
“Ko s’ohun l’aiye, l’orun<br/>
T’o le ya t’emi Tire.”</p> "
3,<title>GBA mo le ka oye mi re - Yoruba Baptist Hymns</title>,"<p>1. GBA mo le ka oye mi re,<br/>
Ni ibugbe l’oke;<br/>
Mo dagbere f’eru gbogbo,<br/>
Mo n’omije mi nu.</p> <p>2. B’aiye kojuja s’okan mi,<br/>
T’a nso oko si I,<br/>
‘Gbana mo le rin Satani,<br/>
Mo le je ‘ju k’aiye.</p> <p>3. K’aniyan de b’ikun omi,<br/>
K’iji ‘banuje ja;<br/>
Ki nsa de ‘le Alafia,<br/>
Olorun, gbogbo mi.</p> <p>4. Nibe l’okan mi y’o luwe,<br/>
N’nu okun ‘b’isimi;<br/>
Ko si wahala to le de,<br/>
S’ibale aiya mi.</p> "
4,<title>APATA aiyeraiye - Yoruba Baptist Hymns</title>,"<p>1. APATA aiyeraiye,<br/>
Enit’ o mbe lailai,<br/>
Nigbakugba t’ iji nja,<br/>
‘Bugbe wa y’o gbe je:<br/>
Saju dida aiye yi,<br/>
Iwo mbe; bakanna<br/>
Tit’ aiye ainipekun,<br/>
Aiyeraiye ni ‘Wo.</p> <p>2. Oj’ odun wa ri b’ oji<br/>
T’ o han l’ ori oke:<br/>
Bi koriko ipado,<br/>
T’ o ru ti o si ku,<br/>
Bi ala; tabi b’ itan<br/>
T’ enikan nyara pa:<br/>
Ogo ti ko ni si mo,<br/>
Ohun t’ o gbo tan ni.</p> <p>3. ‘Wo Eniti Ki togbe,<br/>
‘Mole Enit’ itan;<br/>
Ko wa bi a o ti ka<br/>
Ojo wa, k’ o to tan;<br/>
Je k’ anu Re ba le wa,<br/>
K’ ore Re po fun wa;<br/>
Si je k’ Eni Mimo Re,<br/>
Mole si okan wa.</p> <p>4. Jesu, f’ ewa at’ ore,<br/>
De ‘gbagbo wa l’ ade;<br/>
Tit’ ao fi ri O gbangba,<br/>
Ninu ‘mole lailai;<br/>
Ayo t’ enu ko le so,<br/>
Orisun akunya,<br/>
Alafia ailopin,<br/>
Okun ailebute.</p> "
5,<title>IGBAGBO mi duro l'ori - Yoruba Baptist Hymns</title>,"<p>1. IGBAGBO mi duro l’ori,<br/>
Eje at’ododo Jesu;<br/>
Nko je gbekele ohun kan,<br/>
Lehin oruko nla Jesu;<br/>
Mo duro le Krist’Apata,<br/>
Ile miran, iyanrin ni.</p> <p>2. B’ire-ije mi tile gun,<br/>
Or’-ofe Re ko yipada:<br/>
B’o ti wu k’iji na le to,<br/>
Idakoro mi ko ni ye:<br/>
Mo duro le Krist’Apata,<br/>
Ile miran, iyanrin ni.</p> <p>3. Majemu ati eje Re,<br/>
L’em’o ro mo b’ikunmi de:<br/>
Gbati ohun aiye bo tan,<br/>
O je ireti nla fun mi;<br/>
Mo duro le Krist’Apata,<br/>
Ile miran, iyanrin ni.</p> <p>4. Gbat’ipe kehin ba si dun,<br/>
A! mba le wa l’odo Jesu,<br/>
Ki now ododo Re nikan.<br/>
Ki nduro niwaju ite.<br/>
Mo duro le Krist’Apata,<br/>
Ile miran, iyanrin ni.</p> "
6,<title>GBEKELE onigbagbo - Yoruba Baptist Hymns</title>,"<p>1. GBEKELE onigbagbo,<br/>
B’ ija na tile pe,<br/>
Sibe iwo yio segun,<br/>
Olorun ja fun o.<br/>
Sa gbekele!<br/>
B’ okunkun tile su:<br/>
Sa gbekele!<br/>
Ile fere mo na.</p> <p>2. Gbekele! ewu ma mbo,<br/>
Idanwo wa n’tosi;<br/>
Ninu gbogb’ ewu aiye,<br/>
On yio t’ oko re.</p> <p>3. Oluwa le gba wa la,<br/>
Ore otito ni;<br/>
Gbekele onigbagbo,<br/>
Gbekele de opin.</p> "
7,<title>OLORUN mi bojuwo mi - Yoruba Baptist Hymns</title>,"<p>1. OLORUN mi bojuwo mi<br/>
F’ iyanu ‘fe nla Re han mi;<br/>
Ma je ki ngbere fun ‘ra mi,<br/>
Tori ‘Wo si ngbero fun mi;<br/>
Baba mi to mi l’aiye yi<br/>
Je k’ igbala Re to fun mi.</p> <p>2. Ma je ki mbu le O lowo,<br/>
‘Tori ‘Wo li onipin mi,<br/>
S’ eyi t’ Iwo ti pinnu re,<br/>
Iba je’ ponju tab’ ogo.</p> <p>3. Oluwa tal’ o r’ idi Re,<br/>
Iwo Olorun Ologo?<br/>
Iwo l’ egbegberun ona<br/>
Nibiti nko ni ‘kansoso.</p> <p>4. B’ orun ti ga ju aiye lo,<br/>
Bel’ ero Re ga ju t’ emi,<br/>
Ma dari mi k’ emi le lo<br/>
S’ ipa ona ododo Re</p> "
8,<title>GBEKELE ojojumo - Yoruba Baptist Hymns</title>,"<p>1. GBEKELE ojojumo,<br/>
‘Gbekele ninu iji,<br/>
B’ igbgbo tile kere,<br/>
Ki nsa gbekele Jesu.<br/>
B’ iseju t info Kankan,<br/>
Bi ojo nkoja lo,<br/>
Ohunkohun t’ o le de,<br/>
Gbekele Jesu nikan.</p> <p>2. Emi Re nmole pupo,<br/>
Sinu okan osi mi,<br/>
B’ O ban to mi nk’y’o subu,<br/>
Ki nsa gbekele Jesu.</p> <p>3. Ki nkorin b’ ona mi to,<br/>
Gbadura gbat’ ona su,<br/>
Ki nke pe ninu ‘danwo,<br/>
Gbekele Jesu nikan.</p> <p>4. Ki ngbekele d’ oju ‘ku,<br/>
Titi aiye yio koja,<br/>
Titi ngo fi de orun,<br/>
Gbekele Jesu nikan.</p> "
9,<title>NIGBA nwon kehin si Sion - Yoruba Baptist Hymns</title>,"<p>1. NIGBA nwon kehin si Sion,<br/>
A! opo n’ iye won;<br/>
Mo seb’ Olugbala wipe,<br/>
‘Wo fe ko mi pelu?</p> <p>2. T’ emi t’ okan b’ iru eyi<br/>
A fi b’ O di mi mu;<br/>
Nko le se kin ma fa sehin<br/>
K’ emi si dabi won.</p> <p>3. Mo mo, Iwo l’ o l’ agbara<br/>
Lati gba otosi;<br/>
Odo tani emi o lo,<br/>
Bi mo k’ ehni si O?</p> <p>4. O da mi loju papa pe<br/>
Iwo ni Kristi na!<br/>
Enit’ o ni emi iye<br/>
Nipa ti eje Re</p> <p>5. Ohun Re f’ simi fun mi,<br/>
O si l’ eru mi lo;<br/>
Ife Re l’ o le mu mi yo<br/>
O si to f’ okan mi.</p> <p>6. Bi ‘bere yi ti dun mi to,<br/>
“Pe emi o lo bi?”<br/>
Oluwa ni ‘gbekele Re,<br/>
Mo dahan pe, “Beko.”</p> "
